Region,Date,Pollutant,Concentration_µg/m³
Mesolongi,2024-04-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.307451
Mesolongi,2024-04-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.8090827
Mesolongi,2024-04-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.7064438
Mesolongi,2024-04-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.2062776
Mesolongi,2024-04-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.5896163
Mesolongi,2024-04-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.8548908
Mesolongi,2024-04-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.802495
Mesolongi,2024-04-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.11175
Mesolongi,2024-04-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.8576386
Mesolongi,2024-04-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.1813283
Mesolongi,2024-04-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.1205866
Mesolongi,2024-04-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.878043
Mesolongi,2024-04-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.9549663
Mesolongi,2024-04-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.4571593
Mesolongi,2024-04-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.1780896
Mesolongi,2024-04-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.7127883
Mesolongi,2024-04-17 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.9768978
Mesolongi,2024-04-18 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.3283648
Mesolongi,2024-04-19 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.8684927
Mesolongi,2024-04-20 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.4485077
Mesolongi,2024-04-21 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7121187
Mesolongi,2024-04-22 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.667797
Mesolongi,2024-04-23 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.9414368
Mesolongi,2024-04-24 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.9670115
Mesolongi,2024-04-25 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.9131068
Mesolongi,2024-04-26 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.76735
Mesolongi,2024-04-27 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.8385556
Mesolongi,2024-04-28 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.5405098
Mesolongi,2024-04-29 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.6301152
Mesolongi,2024-04-30 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.9862938
Nafplio,2024-04-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.9540946
Nafplio,2024-04-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.1331747
Nafplio,2024-04-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.0010767
Nafplio,2024-04-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.3773935
Nafplio,2024-04-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.6151402
Nafplio,2024-04-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.5532506
Nafplio,2024-04-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.4635186
Nafplio,2024-04-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7746323
Nafplio,2024-04-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.902177
Nafplio,2024-04-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.4936974
Nafplio,2024-04-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.8456252
Nafplio,2024-04-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.1077201
Nafplio,2024-04-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.7298124
Nafplio,2024-04-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.763003
Nafplio,2024-04-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.3105428
Nafplio,2024-04-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.1686144
Nafplio,2024-04-17 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.7077417
Nafplio,2024-04-18 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7074069
Nafplio,2024-04-19 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.9650329
Nafplio,2024-04-20 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.897862
Nafplio,2024-04-21 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.6710677
Nafplio,2024-04-22 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.686238
Nafplio,2024-04-23 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.5789247
Nafplio,2024-04-24 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.0976417
Nafplio,2024-04-25 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.1539958
Nafplio,2024-04-26 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.6671836
Nafplio,2024-04-27 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.8640926
Nafplio,2024-04-28 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.8776312
Nafplio,2024-04-29 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.0302308
Nafplio,2024-04-30 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.029644
Tripoli,2024-04-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.0605717
Tripoli,2024-04-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.0858626
Tripoli,2024-04-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.419714
Tripoli,2024-04-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.0376604
Tripoli,2024-04-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.7994127
Tripoli,2024-04-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.3273542
Tripoli,2024-04-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.3849363
Tripoli,2024-04-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.0741475
Tripoli,2024-04-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.6471121
Tripoli,2024-04-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.3726857
Tripoli,2024-04-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.2213905
Tripoli,2024-04-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.2179354
Tripoli,2024-04-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7115984
Tripoli,2024-04-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.9734468
Tripoli,2024-04-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.363511
Tripoli,2024-04-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.4288983
Tripoli,2024-04-17 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.834898
Tripoli,2024-04-18 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.0721334
Tripoli,2024-04-19 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7228622
Tripoli,2024-04-20 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.0602766
Tripoli,2024-04-21 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.1577601
Tripoli,2024-04-22 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.424396
Tripoli,2024-04-23 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.659896
Tripoli,2024-04-24 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.4659084
Tripoli,2024-04-25 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.445444
Tripoli,2024-04-26 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.736005
Tripoli,2024-04-27 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.221503
Tripoli,2024-04-28 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.5024201
Tripoli,2024-04-29 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.4761711
Tripoli,2024-04-30 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,1.7913961
Arta,2024-04-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.4337246
Arta,2024-04-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.1489472
Arta,2024-04-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.659725
Arta,2024-04-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.5378647
Arta,2024-04-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,5.443859
Arta,2024-04-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.2484345
Arta,2024-04-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.237025
Arta,2024-04-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.2599392
Arta,2024-04-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.5840945
Arta,2024-04-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.9880376
Arta,2024-04-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.316517
Arta,2024-04-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.4562633
Arta,2024-04-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.509138
Arta,2024-04-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.3425806
Arta,2024-04-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.5999203
Arta,2024-04-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,5.3567657
Arta,2024-04-17 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.140871
Arta,2024-04-18 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.047856
Arta,2024-04-19 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.9440486
Arta,2024-04-20 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.1772263
Arta,2024-04-21 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.599088
Arta,2024-04-22 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.385329
Arta,2024-04-23 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.4853554
Arta,2024-04-24 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.864236
Arta,2024-04-25 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.6277974
Arta,2024-04-26 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.0601935
Arta,2024-04-27 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.1941395
Arta,2024-04-28 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.423601
Arta,2024-04-29 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,2.6850767
Arta,2024-04-30 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,3.2575595
Athens,2024-04-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,41.52487
Athens,2024-04-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,32.60829
Athens,2024-04-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,25.554052
Athens,2024-04-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,36.640873
Athens,2024-04-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,39.348827
Athens,2024-04-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,38.869648
Athens,2024-04-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,22.019615
Athens,2024-04-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,7.359043
Athens,2024-04-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,15.37824
Athens,2024-04-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,31.565277
Athens,2024-04-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,15.909314
Athens,2024-04-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,10.1512375
Athens,2024-04-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,14.059297
Athens,2024-04-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,21.68339
Athens,2024-04-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,35.208714
Athens,2024-04-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,26.795282
Athens,2024-04-17 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,16.722479
Athens,2024-04-18 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,11.0059595
Athens,2024-04-19 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,19.022427
Athens,2024-04-20 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,11.05191
Athens,2024-04-21 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,14.488179
Athens,2024-04-22 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,20.250036
Athens,2024-04-23 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,16.281609
Athens,2024-04-24 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,27.3564
Athens,2024-04-25 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,23.216377
Athens,2024-04-26 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,25.87013
Athens,2024-04-27 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,22.698257
Athens,2024-04-28 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,8.933924
Athens,2024-04-29 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,9.800225
Athens,2024-04-30 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,11.092233
Patras,2024-04-01 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,18.44484
Patras,2024-04-02 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,8.297778
Patras,2024-04-03 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,9.47236
Patras,2024-04-04 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,6.7896514
Patras,2024-04-05 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,13.241147
Patras,2024-04-06 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,13.404527
Patras,2024-04-07 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,8.017663
Patras,2024-04-08 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,4.111852
Patras,2024-04-09 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,10.880437
Patras,2024-04-10 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,12.883575
Patras,2024-04-11 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,7.4367347
Patras,2024-04-12 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,6.2141457
Patras,2024-04-13 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,7.384195
Patras,2024-04-14 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,9.023687
Patras,2024-04-15 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,13.578972
Patras,2024-04-16 00:00:00,Nitrogen Dioxide (NO₂) µg/m³,12.012123
