File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-17,Particulate Matter 2.5 µg/m³,4.4587245
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-18,Particulate Matter 2.5 µg/m³,5.3025513
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-19,Particulate Matter 2.5 µg/m³,7.744333
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-20,Particulate Matter 2.5 µg/m³,6.8007216
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-21,Particulate Matter 2.5 µg/m³,9.069457
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-22,Particulate Matter 2.5 µg/m³,6.418365
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-23,Particulate Matter 2.5 µg/m³,4.018617
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-24,Particulate Matter 2.5 µg/m³,4.464644
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-25,Particulate Matter 2.5 µg/m³,5.973578
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-26,Particulate Matter 2.5 µg/m³,7.678717
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-27,Particulate Matter 2.5 µg/m³,7.670735
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-28,Particulate Matter 2.5 µg/m³,8.693835
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-29,Particulate Matter 2.5 µg/m³,11.675186
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-30,Particulate Matter 2.5 µg/m³,15.066368
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Polygyros,2023-12-31,Particulate Matter 2.5 µg/m³,12.411555
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-01,Particulate Matter 2.5 µg/m³,4.108814
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-02,Particulate Matter 2.5 µg/m³,6.189199
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-03,Particulate Matter 2.5 µg/m³,11.351486
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-04,Particulate Matter 2.5 µg/m³,10.054651
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-05,Particulate Matter 2.5 µg/m³,6.2852745
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-06,Particulate Matter 2.5 µg/m³,4.4225583
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-07,Particulate Matter 2.5 µg/m³,2.7244833
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-08,Particulate Matter 2.5 µg/m³,3.8178587
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-09,Particulate Matter 2.5 µg/m³,3.986229
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-10,Particulate Matter 2.5 µg/m³,3.8340685
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-11,Particulate Matter 2.5 µg/m³,4.304651
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-12,Particulate Matter 2.5 µg/m³,4.432964
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-13,Particulate Matter 2.5 µg/m³,4.883225
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-14,Particulate Matter 2.5 µg/m³,7.0986595
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-15,Particulate Matter 2.5 µg/m³,5.1657243
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-16,Particulate Matter 2.5 µg/m³,3.974924
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-17,Particulate Matter 2.5 µg/m³,3.894181
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-18,Particulate Matter 2.5 µg/m³,4.994783
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-19,Particulate Matter 2.5 µg/m³,4.887049
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-20,Particulate Matter 2.5 µg/m³,4.792829
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-21,Particulate Matter 2.5 µg/m³,4.7244763
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-22,Particulate Matter 2.5 µg/m³,5.7494125
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-23,Particulate Matter 2.5 µg/m³,4.4166007
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-24,Particulate Matter 2.5 µg/m³,3.7665043
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-25,Particulate Matter 2.5 µg/m³,3.553601
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-26,Particulate Matter 2.5 µg/m³,3.866188
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-27,Particulate Matter 2.5 µg/m³,3.9011376
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-28,Particulate Matter 2.5 µg/m³,6.5173345
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Fira,2023-12-29,Particulate Matter 2.5 µg/m³,5.6175714
